State,County,Date,AQI,AQI_cat,co,ozone,no2,so2,wind,temp,humid,pressure,no
Alabama,Jefferson,2022-01-01,37,Good,0,0.024765,1.3937499999999998,0.015625,15.837499999999999,73.19999999999999,64.041667,987.9749999999999,0.651389
Alabama,Jefferson,2022-01-05,51,Moderate,0.24750025,0.012563,15.660764,0.45729175,8.366666500000001,47.90625,61.375,995.85625,24.026553999999997
Alabama,Jefferson,2022-01-06,54,Moderate,0.27187500000000003,0.023941,8.710417,0.56875,11.8145835,42.041666500000005,69.291667,994.033333,24.322041333333335
Alabama,Jefferson,2022-01-07,37,Good,0.12812475,0.017294,6.5395835,0.20625,8.95625,32.0291665,62.333333,1003.13125,1.5958333333333332
Alabama,Jefferson,2022-01-08,40,Good,0.12916675,0.031,8.1583335,0.525,10.5333335,44.922917,48.875,1006.1270835,2.2416665
Alabama,Jefferson,2022-01-09,34,Good,0.08541675,0.021941,4.40625,0.24270825000000001,12.3916665,54.53125,65.958333,1002.8958335,1.63125
Alabama,Jefferson,2022-01-11,30,Good,0.20879316666666667,0.017647,11.174653,0.4893375,7.635,41.1166665,41.916667,1010.4020835,5.040972
Alabama,Jefferson,2022-01-12,57,Moderate,0.45524016666666667,0.012882,19.703788,0.820238,7.3208335,42.729166500000005,45,1004.114583,48.653318666666664
Alabama,Jefferson,2022-01-13,43,Good,0.3319445,0.017882,16.329167,0.56770825,8.5395835,48.6625,46.208333,994.6583335,17.353563
Alabama,Jefferson,2022-01-14,49,Good,0.34780716666666667,0.004455,16.922477999999998,0.38117175000000003,6.4093205,42.9461625,52.083333,995.0398025,24.468981333333332
Alabama,Jefferson,2022-01-15,72,Moderate,0.2840278333333333,0.022294,11.5520835,0.5645835,11.24375,45.1291665,56,991.9416665,7.456944333333333
Alabama,Jefferson,2022-01-17,39,Good,0.17013883333333332,0.012176,7.629167,0.115625,9.710416500000001,34.739583499999995,64.333333,994.68125,5.936111
Alabama,Jefferson,2022-01-18,56,Moderate,0.5082026666666667,0.022765,14.8083335,0.70166675,8.1354165,41.513587,56.583333,1000.0011775,39.21444433333333
Alabama,Jefferson,2022-01-20,39,Good,0.10208325,0.02225,4.0941665,0.04166675,13.408332999999999,36.4208335,67,1000.98125,0.7383093333333334
